"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","National poverty headcount ratio is the percentage of the population living below the national poverty lines. National estimates are based on population-weighted subgroup estimates from household surveys.","World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",
"SI.POV.RUGP","Rural poverty gap at national poverty lines (%)","Rural poverty gap at national poverty lines is the rural population's mean shortfall from the poverty lines (counting the nonpoor as having zero shortfall) as a percentage of the poverty lines. This measure reflects the depth of poverty as well as its incidence.","World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",
"SI.POV.RUHC","Rural poverty headcount ratio at national poverty lines (% of rural population)","Rural poverty headcount ratio is the percentage of the rural population living below the national poverty lines.","World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",
"SI.POV.URGP","Urban poverty gap at national poverty lines (%)","Urban poverty gap at national poverty lines is the urban population's mean shortfall from the poverty lines (counting the nonpoor as having zero shortfall) as a percentage of the poverty lines. This measure reflects the depth of poverty as well as its incidence.","World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",
"SI.POV.URHC","Urban poverty headcount ratio at national poverty lines (% of urban population)","Urban poverty headcount ratio is the percentage of the urban population living below the national poverty lines.","World Bank, Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.",
"SI.SPR.PC40","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Mean consumption or income per capita (2011 PPP $ per day) used in calculating the growth rate in the welfare aggregate of the bottom 40% of the population in the income distribution in a country.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.SPR.PC40.05","Survey mean consumption or income per capita, bottom 40% of population (2005 PPP $ per day)","Mean consumption or income per capita (2005 PPP $ per day) used in calculating the growth rate in the welfare aggregate of the bottom 40% of the population in the income distribution in a country.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.SPR.PC40.ZG","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","The growth rate in the welfare aggregate of the bottom 40% is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40% of the population in the income distribution in a country from household surveys over a roughly 5-year period. Mean per capita real consumption or income is measured at 2011 and 2005 Purchasing Power Parity (PPP) using the PovcalNet (http://iresearch.worldbank.org/PovcalNet). For some countries means are not reported due to grouped and/or confidential data. The annualized growth rate is computed as (Mean in final year/Mean in initial year)^(1/(Final year - Initial year)) - 1. The reference year is the year in which the underlying household survey data was collected. In cases where the data collection period bridged two calendar years, the first year in which data were collected is reported. The final year refers to the most recent survey available between 2010 and 2014. The initial year refers to the nearest survey collected 5 years before the most recent survey available, only surveys collected between 3 and 7 years before the most recent survey are considered. Growth rates for four countries – Bangladesh, Cambodia, Jordan, and Lao PDR – are based on survey means of 2005 PPP$. This is due to the large deviations in the rate of change in PPP factors relative to the rate of change in domestic consumer price indexes. See Box 1.1 in the Global Monitoring Report 2015/2016 (http://www.worldbank.org/en/publication/global-monitoring-report) for a detailed explanation.
","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.SPR.PCAP","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Mean consumption or income per capita (2011 PPP $ per day) used in calculating the growth rate in the welfare aggregate of total population.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.SPR.PCAP.05","Survey mean consumption or income per capita, total population (2005 PPP $ per day)","Mean consumption or income per capita (2005 PPP $ per day) used in calculating the growth rate in the welfare aggregate of total population.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.SPR.PCAP.ZG","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","The growth rate in the welfare aggregate of the total population is computed as the annualized average growth rate in per capita real consumption or income of the total population in the income distribution in a country from household surveys over a roughly 5-year period. Mean per capita real consumption or income is measured at 2011 and 2005 Purchasing Power Parity (PPP) using the PovcalNet (http://iresearch.worldbank.org/PovcalNet). For some countries means are not reported due to grouped and/or confidential data. The annualized growth rate is computed as (Mean in final year/Mean in initial year)^(1/(Final year - Initial year)) - 1. The reference year is the year in which the underlying household survey data was collected. In cases where the data collection period bridged two calendar years, the first year in which data were collected is reported. The final year refers to the most recent survey available between 2010 and 2014. The initial year refers to the nearest survey collected 5 years before the most recent survey available, only surveys collected between 3 and 7 years before the most recent survey are considered. Growth rates for four countries – Bangladesh, Cambodia, Jordan, and Lao PDR – are based on survey means of 2005 PPP$. This is due to the large deviations in the rate of change in PPP factors relative to the rate of change in domestic consumer price indexes. See Box 1.1 in the Global Monitoring Report 2015/2016 (http://www.worldbank.org/en/publication/global-monitoring-report) for a detailed explanation.
","World Bank, Global Database of Shared Prosperity (GDSP) circa 2007 - 2012 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SL.AGR.0714.FE.ZS","Child employment in agriculture, female (% of female economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.0714.MA.ZS","Child employment in agriculture, male (% of male economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.0714.ZS","Child employment in agriculture (% of economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.EMPL.FE.ZS","Employment in agriculture, female (% of female employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.AGR.EMPL.MA.ZS","Employment in agriculture, male (% of male employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.FE.NE.ZS","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.FE.ZS","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.MA.NE.ZS","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.MA.ZS","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.NE.ZS","Employment to population ratio, ages 15-24, total (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.ZS","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.INSV.FE.ZS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","Share of women in wage employment in the nonagricultural sector is the share of female workers in wage employment in the nonagricultural sector (industry and services), expressed as a percentage of total employment in the nonagricultural sector. Industry includes mining and quarrying (including oil production), manufacturing, construction, electricity, gas, and water, corresponding to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3). Services include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services-corresponding to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.MPYR.FE.ZS","Employers, female (% of employment)","Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","ILO Key Indicators of the Labour Market (KILM).",
"SL.EMP.MPYR.MA.ZS","Employers, male (% of employment)","Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","ILO Key Indicators of the Labour Market (KILM).",
"SL.EMP.MPYR.ZS","Employers, total (% of employment)","Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","ILO Key Indicators of the Labour Market (KILM).",
"SL.EMP.SELF.FE.ZS","Self-employed, female (% of females employed)","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs.""  i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.SELF.MA.ZS","Self-employed, male (% of males employed)","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs.""  i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.SELF.ZS","Self-employed, total (% of total employed)","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs.""  i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.FE.NE.ZS","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.FE.ZS","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.MA.NE.ZS","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.MA.ZS","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.NE.ZS","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.TOTL.SP.ZS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.VULN.FE.ZS","Vulnerable employment, female (% of female employment)","Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.VULN.MA.ZS","Vulnerable employment, male (% of male employment)","Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.VULN.ZS","Vulnerable employment, total (% of total employment)","Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.WORK.FE.ZS","Wage and salaried workers, female (% of females employed)","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.WORK.MA.ZS","Wage and salary workers, male (% of males employed)","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.WORK.ZS","Wage and salaried workers, total (% of total employed)","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.FAM.0714.FE.ZS","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","Unpaid family workers are people who work without pay in a market-oriented establishment operated by a related person living in the same household.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.FAM.0714.MA.ZS","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","Unpaid family workers are people who work without pay in a market-oriented establishment operated by a related person living in the same household.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.FAM.0714.ZS","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","Unpaid family workers are people who work without pay in a market-oriented establishment operated by a related person living in the same household.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.FAM.WORK.FE.ZS","Contributing family workers, female (% of females employed)","Contributing family workers are those workers who hold  ‘self-employment jobs’ as own-account workers in a market-oriented establishment operated by a related person living in the same household.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.FAM.WORK.MA.ZS","Contributing family workers, male (% of males employed)","Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.FAM.WORK.ZS","Contributing family workers, total (% of total employed)","Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.GDP.PCAP.EM.KD","GDP per person employed (constant 1990 PPP $)","GDP per person employed is gross domestic product (GDP) divided by total employment in the economy. Purchasing power parity (PPP) GDP is GDP converted to 1990 constant international dollars using PPP rates. An international dollar has the same purchasing power over GDP that a U.S. dollar has in the United States.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.IND.EMPL.FE.ZS","Employment in industry, female (% of female employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.IND.EMPL.MA.ZS","Employment in industry, male (% of male employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.IND.EMPL.ZS","Employment in industry (% of total employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.MNF.0714.FE.ZS","Child employment in manufacturing, female (% of female economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Manufacturing corresponds to division 3 (ISIC revision 2) or category D (ISIC revision 3). Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.MNF.0714.MA.ZS","Child employment in manufacturing, male (% of male economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Manufacturing corresponds to division 3 (ISIC revision 2) or category D (ISIC revision 3). Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.MNF.0714.ZS","Child employment in manufacturing (% of economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Manufacturing corresponds to division 3 (ISIC revision 2) or category D (ISIC revision 3). Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SLF.0714.FE.ZS","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","Self-employed workers are people whose remuneration depends directly on the profits derived from the goods and services they produce, with or without other employees, and include employers, own-account workers, and members of producers cooperatives.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SLF.0714.MA.ZS","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","Self-employed workers are people whose remuneration depends directly on the profits derived from the goods and services they produce, with or without other employees, and include employers, own-account workers, and members of producers cooperatives.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SLF.0714.ZS","Children in employment, self-employed (% of children in employment, ages 7-14)","Self-employed workers are people whose remuneration depends directly on the profits derived from the goods and services they produce, with or without other employees, and include employers, own-account workers, and members of producers cooperatives.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SRV.0714.FE.ZS","Child employment in services, female (% of female economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Services correspond to divisions 6-9 (ISIC revision 2) or categories G-P (ISIC revision 3) and include wholesale and retail trade, hotels and restaurants, transport, financial intermediation, real estate, public administration, education, health and social work, other community services, and private household activity. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SRV.0714.MA.ZS","Child employment in services, male (% of male economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Services correspond to divisions 6-9 (ISIC revision 2) or categories G-P (ISIC revision 3) and include wholesale and retail trade, hotels and restaurants, transport, financial intermediation, real estate, public administration, education, health and social work, other community services, and private household activity. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SRV.0714.ZS","Child employment in services (% of economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Services correspond to divisions 6-9 (ISIC revision 2) or categories G-P (ISIC revision 3) and include wholesale and retail trade, hotels and restaurants, transport, financial intermediation, real estate, public administration, education, health and social work, other community services, and private household activity. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.SRV.EMPL.FE.ZS","Employment in services, female (% of female employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services, in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.SRV.EMPL.MA.ZS","Employment in services, male (% of male employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services, in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.SRV.EMPL.ZS","Employment in services (% of total employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services, in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.0714.FE.ZS","Children in employment, female (% of female children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.MA.ZS","Children in employment, male (% of male children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.FE.TM","Average working hours of children, study and work, female, ages 7-14 (hours per week)","Average working hours of children studying and working refer to the average weekly working hours of those children who are attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.FE.ZS","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.MA.TM","Average working hours of children, study and work, male, ages 7-14 (hours per week)","Average working hours of children studying and working refer to the average weekly working hours of those children who are attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.MA.ZS","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.TM","Average working hours of children, study and work, ages 7-14 (hours per week)","Average working hours of children studying and working refer to the average weekly working hours of those children who are attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.ZS","Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.FE.TM","Average working hours of children, working only, female, ages 7-14 (hours per week)","Average working hours of children working only refers to the average weekly working hours of those children who are involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.FE.ZS","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.MA.TM","Average working hours of children, working only, male, ages 7-14 (hours per week)","Average working hours of children working only refers to the average weekly working hours of those children who are involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.MA.ZS","Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.TM","Average working hours of children, working only, ages 7-14 (hours per week)","Average working hours of children working only refers to the average weekly working hours of those children who are involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.ZS","Children in employment, work only (% of children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.ZS","Children in employment, total (% of children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.ACTI.1524.FE.NE.ZS","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.ACTI.1524.FE.ZS","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.ACTI.1524.MA.NE.ZS","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.ACTI.1524.MA.ZS","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, Key Indicators of the Labour Market database.",
