Age,Sex,Region,Income,Married,Children,Car,Savings,Money,Mortgage,Product
37.6-42.5,MALE,INNER_CITY,34072.155-39883.744,YES,0,NO,NO,NO,NO,NO
32.7-37.6,FEMALE,SUBURBAN,22448.977-28260.566,NO,2,NO,YES,YES,NO,YES
37.6-42.5,MALE,TOWN,16637.388-22448.977,YES,2,YES,YES,YES,NO,NO
42.5-47.4,FEMALE,INNER_CITY,28260.566-34072.155,YES,0,YES,YES,YES,NO,NO
32.7-37.6,MALE,TOWN,28260.566-34072.155,YES,0,NO,YES,YES,YES,NO
22.9-27.8,FEMALE,TOWN,16637.388-22448.977,YES,1,YES,YES,YES,NO,YES
57.2-62.1,MALE,TOWN,39883.744-45695.333,YES,0,YES,YES,NO,NO,YES
0-22.9,MALE,INNER_CITY,0-10825.799,NO,0,NO,YES,YES,YES,NO
42.5-47.4,FEMALE,TOWN,22448.977-28260.566,YES,0,YES,NO,NO,NO,NO
62.10,MALE,SUBURBAN,51506.922-57318.511,YES,2,YES,YES,NO,YES,YES
0-22.9,MALE,TOWN,10825.799-16637.388,YES,2,YES,NO,YES,YES,NO
42.5-47.4,FEMALE,TOWN,16637.388-22448.977,NO,3,NO,YES,NO,NO,NO
42.5-47.4,FEMALE,RURAL,28260.566-34072.155,NO,2,YES,YES,YES,NO,NO
32.7-37.6,MALE,TOWN,22448.977-28260.566,YES,1,NO,YES,YES,YES,YES
0-22.9,MALE,TOWN,0-10825.799,NO,3,YES,YES,YES,NO,NO
0-22.9,MALE,INNER_CITY,16637.388-22448.977,YES,1,NO,NO,YES,NO,YES
42.5-47.4,FEMALE,TOWN,28260.566-34072.155,NO,1,YES,YES,NO,NO,YES
57.2-62.1,MALE,RURAL,45695.333-51506.922,YES,0,NO,YES,YES,NO,NO
27.8-32.7,MALE,SUBURBAN,10825.799-16637.388,YES,1,YES,YES,YES,NO,NO
22.9-27.8,MALE,INNER_CITY,22448.977-28260.566,YES,0,NO,NO,NO,NO,NO
37.6-42.5,FEMALE,INNER_CITY,28260.566-34072.155,NO,2,NO,YES,YES,YES,YES
47.4-52.3,MALE,TOWN,16637.388-22448.977,YES,0,NO,YES,YES,NO,NO
62.10,MALE,SUBURBAN,45695.333-51506.922,YES,2,NO,YES,YES,NO,YES
57.2-62.1,FEMALE,RURAL,28260.566-34072.155,YES,3,YES,YES,YES,YES,NO
57.2-62.1,FEMALE,INNER_CITY,45695.333-51506.922,NO,2,YES,YES,YES,YES,NO
27.8-32.7,FEMALE,INNER_CITY,0-10825.799,YES,0,YES,YES,YES,NO,NO
27.8-32.7,FEMALE,TOWN,10825.799-16637.388,YES,0,YES,YES,NO,NO,YES
27.8-32.7,MALE,INNER_CITY,10825.799-16637.388,YES,0,NO,YES,NO,YES,NO
37.6-42.5,MALE,TOWN,22448.977-28260.566,NO,0,YES,NO,YES,YES,YES
